file,province,main_sector,subsector,hazard,n_variables,n_with_legacy_weight,n_new_variables,n_rows,panel_overrides
generated/Central/BUFFALO_DROUGHT_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Buffalo Farming,Drought,19,9,10,41,"2 add, 1 retire"
generated/Central/BUFFALO_FLOOD_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Buffalo Farming,Flood,21,11,10,41,"4 add, 2 retire"
generated/Central/CATTLE_DROUGHT_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Cattle Farming,Drought,19,9,10,41,"2 add, 1 retire"
generated/Central/CATTLE_FLOOD_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Cattle Farming,Flood,21,11,10,41,"4 add, 2 retire"
generated/Central/COCONUT_DROUGHT_CEN_V1_upload_template.xlsx,Central,Agriculture Sector,Coconut,Drought,11,8,3,41,"2 add, 1 retire"
generated/Central/GOAT_DROUGHT_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Goat Farming,Drought,19,9,10,41,"2 add, 1 retire"
generated/Central/GOAT_FLOOD_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Goat Farming,Flood,21,11,10,41,"4 add, 2 retire"
generated/Central/HUMAN_SETTLEMENTS_DROUGHT_CEN_V1_upload_template.xlsx,Central,Human Settlements Sector,,Drought,18,17,1,41,"4 add, 2 retire"
generated/Central/HUMAN_SETTLEMENTS_FLOOD_CEN_V1_upload_template.xlsx,Central,Human Settlements Sector,,Flood,20,10,10,41,"6 add, 3 retire"
generated/Central/HUMAN_SETTLEMENTS_LANDSLIDE_CEN_V1_upload_template.xlsx,Central,Human Settlements Sector,,Landslide,13,12,1,41,"2 add, 1 retire"
generated/Central/INDUSTRY_DROUGHT_CEN_V1_upload_template.xlsx,Central,Industry Sector,,Drought,16,15,1,41,"4 add, 2 retire"
generated/Central/INDUSTRY_FLOOD_CEN_V1_upload_template.xlsx,Central,Industry Sector,,Flood,18,16,2,41,"6 add, 3 retire"
generated/Central/INLAND_FISHERY_DROUGHT_CEN_V1_upload_template.xlsx,Central,Inland Fishery Sector,Inland Fishery,Drought,9,8,1,41,"2 add, 1 retire"
generated/Central/INLAND_FISHERY_FLOOD_CEN_V1_upload_template.xlsx,Central,Inland Fishery Sector,Inland Fishery,Flood,11,10,1,41,"4 add, 2 retire"
generated/Central/IRRIGATION_WATER_DROUGHT_CEN_V1_upload_template.xlsx,Central,Water Sector,Irrigation Water,Drought,11,9,2,41,"4 add, 2 retire"
generated/Central/IRRIGATION_WATER_FLOOD_CEN_V1_upload_template.xlsx,Central,Water Sector,Irrigation Water,Flood,13,11,2,41,"6 add, 3 retire"
generated/Central/PADDY_DROUGHT_CEN_V1_upload_template.xlsx,Central,Agriculture Sector,Paddy,Drought,14,11,3,41,"4 add, 2 retire"
generated/Central/PADDY_FLOOD_CEN_V1_upload_template.xlsx,Central,Agriculture Sector,Paddy,Flood,17,10,7,41,"4 add, 2 retire"
generated/Central/PIG_AND_SHEEP_DROUGHT_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Pig and Sheep Farming,Drought,22,9,13,41,"2 add, 1 retire"
generated/Central/PIG_AND_SHEEP_FLOOD_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Pig and Sheep Farming,Flood,24,11,13,41,"4 add, 2 retire"
generated/Central/POTABLE_WATER_DROUGHT_CEN_V1_upload_template.xlsx,Central,Water Sector,Potable Water,Drought,14,13,1,41,"4 add, 2 retire"
generated/Central/POTABLE_WATER_FLOOD_CEN_V1_upload_template.xlsx,Central,Water Sector,Potable Water,Flood,14,13,1,41,"6 add, 3 retire"
generated/Central/POTABLE_WATER_LANDSLIDE_CEN_V1_upload_template.xlsx,Central,Water Sector,Potable Water,Landslide,13,12,1,41,"2 add, 1 retire"
generated/Central/POULTRY_DROUGHT_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Poultry Farming,Drought,25,8,17,41,"2 add, 1 retire"
generated/Central/POULTRY_FLOOD_CEN_V1_upload_template.xlsx,Central,Livestock Sector,Poultry Farming,Flood,27,10,17,41,"4 add, 2 retire"
generated/Central/TEA_DROUGHT_CEN_V1_upload_template.xlsx,Central,Agriculture Sector,Tea,Drought,7,6,1,41,"2 add, 1 retire"
generated/Central/TEA_FLOOD_CEN_V1_upload_template.xlsx,Central,Agriculture Sector,Tea,Flood,9,8,1,41,"4 add, 2 retire"
generated/Central/TOURISM_DROUGHT_CEN_V1_upload_template.xlsx,Central,Tourism Sector,,Drought,12,9,3,41,"2 add, 1 retire"
generated/Central/TOURISM_FLOOD_CEN_V1_upload_template.xlsx,Central,Tourism Sector,,Flood,14,11,3,41,"4 add, 2 retire"
generated/Central/TRANSPORTATION_FLOOD_CEN_V1_upload_template.xlsx,Central,Transportation Sector,,Flood,16,10,6,41,"4 add, 2 retire"
generated/Central/TRANSPORTATION_LANDSLIDE_CEN_V1_upload_template.xlsx,Central,Transportation Sector,,Landslide,11,8,3,41,"2 add, 1 retire"
generated/Central/VEGETABLE_OTHER_FIELD_CROPS_DROUGHT_CEN_V1_upload_template.xlsx,Central,Agriculture Sector,Vegetable & Other Field Crops,Drought,11,10,1,41,"4 add, 2 retire"
generated/Central/VEGETABLE_OTHER_FIELD_CROPS_FLOOD_CEN_V1_upload_template.xlsx,Central,Agriculture Sector,Vegetable & Other Field Crops,Flood,11,10,1,41,"4 add, 2 retire"
